,country_life,Year,liver_death,country_pop,LifeExpectancy,Region,Country Name,Indicator Name,Pop
7323,Canada,2001,0.005498051932841783,Canada,77.0,North America,Canada,"Population, male",15369080.0
7324,Switzerland,2001,0.010133105989458173,Switzerland,77.6,Europe & Central Asia,Switzerland,"Population, male",3532974.0
7325,Chile,2001,0.005200387841519425,Chile,73.8,Latin America & Caribbean,Chile,"Population, male",7634046.0
7326,China,2001,0.041980498535488096,China,70.4,East Asia & Pacific,China,"Population, male",652684007.0
7327,Cote d'Ivoire,2001,0.00809723977553344,Cote d'Ivoire,48.0,Sub-Saharan Africa,Cote d'Ivoire,"Population, male",8669621.0
7328,Cameroon,2001,0.018915618058362248,Cameroon,50.2,Sub-Saharan Africa,Cameroon,"Population, male",7929955.0
7329,"Congo, Dem. Rep.",2001,0.005619196072856249,"Congo, Dem. Rep.",49.9,Sub-Saharan Africa,"Congo, Dem. Rep.","Population, male",24024789.0
7330,"Congo, Rep.",2001,0.009375226122274342,"Congo, Rep.",51.9,Sub-Saharan Africa,"Congo, Rep.","Population, male",1589295.0
7331,Colombia,2001,0.0035275143841241173,Colombia,70.2,Latin America & Caribbean,Colombia,"Population, male",19730607.0
7332,Comoros,2001,0.003717923968454845,Comoros,58.0,Sub-Saharan Africa,Comoros,"Population, male",279726.0
7333,Cabo Verde,2001,0.009673806857442398,Cabo Verde,65.9,Sub-Saharan Africa,Cabo Verde,"Population, male",209845.0
7334,Costa Rica,2001,0.004752734304366686,Costa Rica,75.4,Latin America & Caribbean,Costa Rica,"Population, male",2024098.0
7335,Cuba,2001,0.005840266028610115,Cuba,75.2,Latin America & Caribbean,Cuba,"Population, male",5564815.0
7336,Cyprus,2001,0.004808366971265364,Cyprus,76.2,Europe & Central Asia,Cyprus,"Population, male",484572.0
7337,Czech Republic,2001,0.011166155001924402,Czech Republic,72.1,Europe & Central Asia,Czech Republic,"Population, male",4970377.0
7338,Germany,2001,0.009319111803925887,Germany,75.4,Europe & Central Asia,Germany,"Population, male",40132580.0
7339,Djibouti,2001,0.004296151681345186,Djibouti,55.8,Middle East & North Africa,Djibouti,"Population, male",367771.0
7340,Denmark,2001,0.006221330037410932,Denmark,74.8,Europe & Central Asia,Denmark,"Population, male",2652166.0
7341,Dominican Republic,2001,0.0055210233843177425,Dominican Republic,67.1,Latin America & Caribbean,Dominican Republic,"Population, male",4310795.0
7342,Algeria,2001,0.0013994273894548065,Algeria,70.3,Middle East & North Africa,Algeria,"Population, male",15935089.0
7343,Ecuador,2001,0.004335594785745243,Ecuador,70.5,Latin America & Caribbean,Ecuador,"Population, male",6481233.0
7344,"Egypt, Arab Rep.",2001,0.015286812881823538,"Egypt, Arab Rep.",66.6,Middle East & North Africa,"Egypt, Arab Rep.","Population, male",35324564.0
7345,Eritrea,2001,0.004701588646509028,Eritrea,54.6,Sub-Saharan Africa,Eritrea,"Population, male",1182579.0
7346,Spain,2001,0.013949354775085835,Spain,76.4,Europe & Central Asia,Spain,"Population, male",20072613.0
7347,Estonia,2001,0.0067177628459840905,Estonia,65.7,Europe & Central Asia,Estonia,"Population, male",647537.0
7348,Ethiopia,2001,0.004737348733659604,Ethiopia,52.0,Sub-Saharan Africa,Ethiopia,"Population, male",33985254.0
7349,Finland,2001,0.006748495795805513,Finland,74.8,Europe & Central Asia,Finland,"Population, male",2533898.0
7350,Fiji,2001,0.004883060373481598,Fiji,64.4,East Asia & Pacific,Fiji,"Population, male",413675.0
7351,France,2001,0.019261566663223338,France,75.8,Europe & Central Asia,France,"Population, male",29748359.0
7352,"Micronesia, Fed. Sts.",2001,0.005604099841462965,"Micronesia, Fed. Sts.",63.4,East Asia & Pacific,"Micronesia, Fed. Sts.","Population, male",54246.0
7353,Gabon,2001,0.013806041101734865,Gabon,56.5,Sub-Saharan Africa,Gabon,"Population, male",625813.0
7354,United Kingdom,2001,0.005445459577538472,United Kingdom,75.9,Europe & Central Asia,United Kingdom,"Population, male",28831359.0
7355,Georgia,2001,0.0088537625609482,Georgia,66.4,Europe & Central Asia,Georgia,"Population, male",1908793.0
7356,Ghana,2001,0.011430472496628763,Ghana,56.6,Sub-Saharan Africa,Ghana,"Population, male",9973341.0
7357,Guinea,2001,0.024276389306636444,Guinea,51.4,Sub-Saharan Africa,Guinea,"Population, male",4016248.0
7358,"Gambia, The",2001,0.028364896667567842,"Gambia, The",55.7,Sub-Saharan Africa,"Gambia, The","Population, male",676893.0
7359,Guinea-Bissau,2001,0.01854949680274128,Guinea-Bissau,48.5,Sub-Saharan Africa,Guinea-Bissau,"Population, male",593008.0
7360,Equatorial Guinea,2001,0.008203420522527503,Equatorial Guinea,52.7,Sub-Saharan Africa,Equatorial Guinea,"Population, male",329131.0
7361,Greece,2001,0.021494987498626453,Greece,76.3,Europe & Central Asia,Greece,"Population, male",5396607.0
7362,Grenada,2001,0.0054072979071033995,Grenada,70.3,Latin America & Caribbean,Grenada,"Population, male",51412.0
7363,Guatemala,2001,0.0073681753563903975,Guatemala,65.5,Latin America & Caribbean,Guatemala,"Population, male",5822337.0
7364,Guam,2001,0.011121547999248546,Guam,73.4,East Asia & Pacific,Guam,"Population, male",79845.0
7365,Guyana,2001,0.003708301759024878,Guyana,62.8,Latin America & Caribbean,Guyana,"Population, male",372138.0
7366,Honduras,2001,0.002658826948178778,Honduras,69.0,Latin America & Caribbean,Honduras,"Population, male",3358624.0
7367,Croatia,2001,0.012903893061040249,Croatia,71.4,Europe & Central Asia,Croatia,"Population, male",2069143.0
7368,Haiti,2001,0.002901280054194968,Haiti,55.7,Latin America & Caribbean,Haiti,"Population, male",4239508.0
7369,Hungary,2001,0.011974613818704346,Hungary,68.1,Europe & Central Asia,Hungary,"Population, male",4843580.0
7370,Indonesia,2001,0.0036698523686386824,Indonesia,64.8,East Asia & Pacific,Indonesia,"Population, male",107361267.0
7371,India,2001,0.0020570874133985207,India,62.5,South Asia,India,"Population, male",559042845.0
7372,Ireland,2001,0.004392709246315063,Ireland,75.1,Europe & Central Asia,Ireland,"Population, male",1923642.0
7373,"Iran, Islamic Rep.",2001,0.0037262674469904443,"Iran, Islamic Rep.",69.8,Middle East & North Africa,"Iran, Islamic Rep.","Population, male",33813998.0
7374,Iraq,2001,0.001997646870231795,Iraq,66.5,Middle East & North Africa,Iraq,"Population, male",12214371.0
7375,Iceland,2001,0.0039410939691444605,Iceland,78.5,Europe & Central Asia,Iceland,"Population, male",142600.0
7376,Israel,2001,0.004475302319278153,Israel,77.3,Middle East & North Africa,Israel,"Population, male",3172970.0
7377,Italy,2001,0.02262329259400413,Italy,77.1,Europe & Central Asia,Italy,"Population, male",27582192.0
7378,Jamaica,2001,0.004519381453842152,Jamaica,72.9,Latin America & Caribbean,Jamaica,"Population, male",1329828.0
7379,Jordan,2001,0.001247432029760693,Jordan,70.7,Middle East & North Africa,Jordan,"Population, male",2701550.0
7380,Japan,2001,0.03829334354660066,Japan,78.1,East Asia & Pacific,Japan,"Population, male",62412936.0
7381,Kazakhstan,2001,0.011829713720927953,Kazakhstan,58.6,Europe & Central Asia,Kazakhstan,"Population, male",7143030.0
7382,Kenya,2001,0.0019568105533798903,Kenya,49.5,Sub-Saharan Africa,Kenya,"Population, male",16302038.0
7383,Kyrgyz Republic,2001,0.005354557545961315,Kyrgyz Republic,62.7,Europe & Central Asia,Kyrgyz Republic,"Population, male",2446514.0
7384,Cambodia,2001,0.0039653787592080995,Cambodia,58.0,East Asia & Pacific,Cambodia,"Population, male",6027167.0
7385,Kiribati,2001,0.007827649813176938,Kiribati,60.8,East Asia & Pacific,Kiribati,"Population, male",42286.0
7386,"Korea, Rep.",2001,0.03896178211023071,"Korea, Rep.",73.3,East Asia & Pacific,"Korea, Rep.","Population, male",23766880.0
7387,Kuwait,2001,0.002425762736065656,Kuwait,72.5,Middle East & North Africa,Kuwait,"Population, male",1232602.0
7388,Lao PDR,2001,0.005130735223203713,Lao PDR,58.1,East Asia & Pacific,Lao PDR,"Population, male",2689673.0
7389,Lebanon,2001,0.0023140565411165774,Lebanon,73.7,Middle East & North Africa,Lebanon,"Population, male",1996494.0
7390,Liberia,2001,0.015066168985408891,Liberia,51.7,Sub-Saharan Africa,Liberia,"Population, male",1473500.0
7391,Libya,2001,0.00309435441594149,Libya,69.6,Middle East & North Africa,Libya,"Population, male",2821267.0
7392,St. Lucia,2001,0.004447137074943927,St. Lucia,72.2,Latin America & Caribbean,St. Lucia,"Population, male",77578.0
7393,Sri Lanka,2001,0.0024855809748108677,Sri Lanka,69.6,South Asia,Sri Lanka,"Population, male",9414298.0
7394,Lesotho,2001,0.0038881720782177435,Lesotho,42.6,Sub-Saharan Africa,Lesotho,"Population, male",977323.0
7395,Lithuania,2001,0.005720756792011654,Lithuania,65.5,Europe & Central Asia,Lithuania,"Population, male",1622163.0
7396,Luxembourg,2001,0.009331960355258078,Luxembourg,75.0,Europe & Central Asia,Luxembourg,"Population, male",217532.0
7397,Latvia,2001,0.0066413927363842135,Latvia,64.8,Europe & Central Asia,Latvia,"Population, male",1073570.0
7398,Morocco,2001,0.001386608303398771,Morocco,68.3,Middle East & North Africa,Morocco,"Population, male",14423684.0
7399,Moldova,2001,0.013462631887246161,Moldova,63.4,Europe & Central Asia,Moldova,"Population, male",1396458.0
7400,Madagascar,2001,0.003186716382736001,Madagascar,58.5,Sub-Saharan Africa,Madagascar,"Population, male",8096108.0
7401,Maldives,2001,0.0045013160336189895,Maldives,70.7,South Asia,Maldives,"Population, male",145513.0
7402,Mexico,2001,0.004145604017756842,Mexico,72.3,Latin America & Caribbean,Mexico,"Population, male",49208752.0
7403,North Macedonia,2001,0.01158111689076455,North Macedonia,71.2,Europe & Central Asia,North Macedonia,"Population, male",1018900.0
7404,Mali,2001,0.0193085328339813,Mali,48.9,Sub-Saharan Africa,Mali,"Population, male",5593382.0
7405,Malta,2001,0.004527880049637462,Malta,77.1,Middle East & North Africa,Malta,"Population, male",195014.0
7406,Myanmar,2001,0.0045924034212093375,Myanmar,57.7,East Asia & Pacific,Myanmar,"Population, male",22863845.0
7407,Montenegro,2001,0.008732838472486558,Montenegro,70.6,Europe & Central Asia,Montenegro,"Population, male",300017.0
7408,Mongolia,2001,0.04896960818513329,Mongolia,60.6,East Asia & Pacific,Mongolia,"Population, male",1206871.0
7409,Mozambique,2001,0.011443210088737624,Mozambique,47.5,Sub-Saharan Africa,Mozambique,"Population, male",8721329.0
7410,Mauritania,2001,0.013311826181759228,Mauritania,59.0,Sub-Saharan Africa,Mauritania,"Population, male",1344669.0
7411,Mauritius,2001,0.003592390204412063,Mauritius,68.5,Sub-Saharan Africa,Mauritius,"Population, male",592920.0
7412,Malawi,2001,0.0038483310657145982,Malawi,43.3,Sub-Saharan Africa,Malawi,"Population, male",5638808.0
7413,Malaysia,2001,0.00663329068287329,Malaysia,70.9,East Asia & Pacific,Malaysia,"Population, male",12090530.0
7414,Namibia,2001,0.0014784672616170564,Namibia,48.9,Sub-Saharan Africa,Namibia,"Population, male",879289.0
7415,Niger,2001,0.011102062444039256,Niger,50.6,Sub-Saharan Africa,Niger,"Population, male",5827746.0
7416,Nigeria,2001,0.015244396375749132,Nigeria,46.0,Sub-Saharan Africa,Nigeria,"Population, male",63236351.0
7417,Nicaragua,2001,0.0033727157516045946,Nicaragua,67.3,Latin America & Caribbean,Nicaragua,"Population, male",2543944.0
7418,Netherlands,2001,0.004012958206864347,Netherlands,76.1,Europe & Central Asia,Netherlands,"Population, male",7949248.0
7419,Norway,2001,0.0033981865309299806,Norway,76.7,Europe & Central Asia,Norway,"Population, male",2236487.0
7420,Nepal,2001,0.0020159822778633334,Nepal,62.4,South Asia,Nepal,"Population, male",12103281.0
7421,New Zealand,2001,0.0051282239898948765,New Zealand,76.6,East Asia & Pacific,New Zealand,"Population, male",1903193.0
7422,Oman,2001,0.002115668516120067,Oman,71.2,Middle East & North Africa,Oman,"Population, male",1280919.0
7423,Pakistan,2001,0.002455648401483063,Pakistan,62.5,South Asia,Pakistan,"Population, male",75336518.0
7424,Panama,2001,0.002942391444707775,Panama,72.9,Latin America & Caribbean,Panama,"Population, male",1556557.0
7425,Peru,2001,0.004378527849121169,Peru,69.6,Latin America & Caribbean,Peru,"Population, male",13360655.0
7426,Philippines,2001,0.008727247411454782,Philippines,65.5,East Asia & Pacific,Philippines,"Population, male",40104283.0
7427,Papua New Guinea,2001,0.0032627866832209466,Papua New Guinea,58.4,East Asia & Pacific,Papua New Guinea,"Population, male",3037281.0
7428,Poland,2001,0.00502724600297572,Poland,70.1,Europe & Central Asia,Poland,"Population, male",18558869.0
7429,Puerto Rico,2001,0.009375974392687612,Puerto Rico,72.4,Latin America & Caribbean,Puerto Rico,"Population, male",1834476.0
7430,"Korea, Dem. People's Rep.",2001,0.02642037908456401,"Korea, Dem. People's Rep.",63.0,East Asia & Pacific,"Korea, Dem. People's Rep.","Population, male",11279172.0
7431,Portugal,2001,0.010197917585229097,Portugal,73.9,Europe & Central Asia,Portugal,"Population, male",5001021.0
7432,Paraguay,2001,0.0022107461867350874,Paraguay,69.1,Latin America & Caribbean,Paraguay,"Population, male",2754726.0
7433,French Polynesia,2001,0.020659515295987287,French Polynesia,70.5,East Asia & Pacific,French Polynesia,"Population, male",125850.0
7434,Qatar,2001,0.0029085146767160864,Qatar,76.8,Middle East & North Africa,Qatar,"Population, male",398829.0
7435,Romania,2001,0.012478649954272681,Romania,67.6,Europe & Central Asia,Romania,"Population, male",10818478.0
7436,Russian Federation,2001,0.007474216809794988,Russian Federation,58.7,Europe & Central Asia,Russian Federation,"Population, male",68234574.0
7437,Rwanda,2001,0.0034793621633282187,Rwanda,50.0,Sub-Saharan Africa,Rwanda,"Population, male",4023726.0
7438,Saudi Arabia,2001,0.005324681532612767,Saudi Arabia,71.5,Middle East & North Africa,Saudi Arabia,"Population, male",11568767.0
7439,Sudan,2001,0.0062090924352794785,Sudan,57.4,Sub-Saharan Africa,Sudan,"Population, male",14027815.0
7440,Senegal,2001,0.01379196876799532,Senegal,57.1,Sub-Saharan Africa,Senegal,"Population, male",4923155.0
7441,Singapore,2001,0.013986522851190486,Singapore,76.4,East Asia & Pacific,Singapore,"Population, male",2116323.0
7442,Solomon Islands,2001,0.009874071148423364,Solomon Islands,66.9,East Asia & Pacific,Solomon Islands,"Population, male",217742.0
7443,Sierra Leone,2001,0.011870513052053049,Sierra Leone,40.7,Sub-Saharan Africa,Sierra Leone,"Population, male",2358786.0
7444,El Salvador,2001,0.0036140794711514,El Salvador,64.9,Latin America & Caribbean,El Salvador,"Population, male",2849965.0
7445,Somalia,2001,0.0029133278443917677,Somalia,50.0,Sub-Saharan Africa,Somalia,"Population, male",4599551.0
7446,Serbia,2001,0.013778600447491983,Serbia,69.5,Europe & Central Asia,Serbia,"Population, male",3679619.0
7447,South Sudan,2001,0.0035174648354682476,South Sudan,48.9,Sub-Saharan Africa,South Sudan,"Population, male",3212541.0
7448,Sao Tome and Principe,2001,0.001314575000699242,Sao Tome and Principe,60.6,Sub-Saharan Africa,Sao Tome and Principe,"Population, male",71506.0
7449,Suriname,2001,0.005985360805031028,Suriname,64.9,Latin America & Caribbean,Suriname,"Population, male",240587.0
7450,Slovak Republic,2001,0.007813774765644212,Slovak Republic,69.7,Europe & Central Asia,Slovak Republic,"Population, male",2610774.0
7451,Slovenia,2001,0.009421665725868528,Slovenia,72.6,Europe & Central Asia,Slovenia,"Population, male",974350.0
7452,Sweden,2001,0.007725534482014274,Sweden,77.8,Europe & Central Asia,Sweden,"Population, male",4400990.0
7453,Eswatini,2001,0.005197216921152262,Eswatini,42.0,Sub-Saharan Africa,Eswatini,"Population, male",486799.0
7454,Seychelles,2001,0.006259122733232725,Seychelles,67.2,Sub-Saharan Africa,Seychelles,"Population, male",40421.0
7455,Syrian Arab Republic,2001,0.0019535863196234334,Syrian Arab Republic,71.6,Middle East & North Africa,Syrian Arab Republic,"Population, male",8497193.0
7456,Chad,2001,0.012475133633214869,Chad,46.7,Sub-Saharan Africa,Chad,"Population, male",4320595.0
7457,Togo,2001,0.012832982924936644,Togo,52.9,Sub-Saharan Africa,Togo,"Population, male",2501367.0
7458,Thailand,2001,0.03349125149502554,Thailand,67.5,East Asia & Pacific,Thailand,"Population, male",31351471.0
7459,Tajikistan,2001,0.0037573248099946107,Tajikistan,61.8,Europe & Central Asia,Tajikistan,"Population, male",3167147.0
7460,Turkmenistan,2001,0.003241098554327579,Turkmenistan,60.2,Europe & Central Asia,Turkmenistan,"Population, male",2246152.0
7461,Timor-Leste,2001,0.002459905732898164,Timor-Leste,59.2,East Asia & Pacific,Timor-Leste,"Population, male",455302.0
7462,Tonga,2001,0.02798041371040272,Tonga,68.6,East Asia & Pacific,Tonga,"Population, male",50035.0
7463,Trinidad and Tobago,2001,0.002955960924409598,Trinidad and Tobago,67.5,Latin America & Caribbean,Trinidad and Tobago,"Population, male",632620.0
7464,Tunisia,2001,0.001960781527732981,Tunisia,71.3,Middle East & North Africa,Tunisia,"Population, male",4926607.0
7465,Turkey,2001,0.003986275191242343,Turkey,67.6,Europe & Central Asia,Turkey,"Population, male",31608455.0
7466,Tanzania,2001,0.0037947255770233988,Tanzania,50.4,Sub-Saharan Africa,Tanzania,"Population, male",17102686.0
7467,Uganda,2001,0.003997535186429634,Uganda,45.6,Sub-Saharan Africa,Uganda,"Population, male",12007399.0
7468,Ukraine,2001,0.004593820569255644,Ukraine,61.7,Europe & Central Asia,Ukraine,"Population, male",22639108.0
7469,Uruguay,2001,0.0039165440415377464,Uruguay,71.4,Latin America & Caribbean,Uruguay,"Population, male",1608561.0
7470,United States,2001,0.006800646233722715,United States,74.5,North America,United States,"Population, male",140427831.0
7471,Uzbekistan,2001,0.0035532725801609433,Uzbekistan,64.4,Europe & Central Asia,Uzbekistan,"Population, male",12411094.0
7472,St. Vincent and the Grenadines,2001,0.005607957784029271,St. Vincent and the Grenadines,68.8,Latin America & Caribbean,St. Vincent and the Grenadines,"Population, male",54387.0
7473,"Venezuela, RB",2001,0.002815158853832341,"Venezuela, RB",68.8,Latin America & Caribbean,"Venezuela, RB","Population, male",12361647.0
7474,Vietnam,2001,0.0192093386199701,Vietnam,68.8,East Asia & Pacific,Vietnam,"Population, male",39980554.0
7475,Vanuatu,2001,0.004921117383123462,Vanuatu,66.6,East Asia & Pacific,Vanuatu,"Population, male",96726.0
7476,"Yemen, Rep.",2001,0.0036964824870288327,"Yemen, Rep.",60.3,Middle East & North Africa,"Yemen, Rep.","Population, male",9035617.0
7477,South Africa,2001,0.005786001614739527,South Africa,51.7,Sub-Saharan Africa,South Africa,"Population, male",22468020.0
7478,Zambia,2001,0.0038315528566491503,Zambia,43.3,Sub-Saharan Africa,Zambia,"Population, male",5298113.0
7479,Zimbabwe,2001,0.010185789137991463,Zimbabwe,41.7,Sub-Saharan Africa,Zimbabwe,"Population, male",5812019.0
7480,Afghanistan,2002,0.0021731463362384775,Afghanistan,56.1,South Asia,Afghanistan,"Population, male",11642106.0
7481,Angola,2002,0.005020297741566791,Angola,46.3,Sub-Saharan Africa,Angola,"Population, male",8704663.0
7482,Albania,2002,0.014111201445815577,Albania,72.2,Europe & Central Asia,Albania,"Population, male",1544872.0
7483,United Arab Emirates,2002,0.00211420781478863,United Arab Emirates,74.2,Middle East & North Africa,United Arab Emirates,"Population, male",2364952.0
7484,Argentina,2002,0.005576578283732586,Argentina,70.7,Latin America & Caribbean,Argentina,"Population, male",18290786.0
7485,Armenia,2002,0.011299411237510115,Armenia,69.1,Europe & Central Asia,Armenia,"Population, male",1424853.0
7488,Antigua and Barbuda,2002,0.0050740760840071635,Antigua and Barbuda,73.1,Latin America & Caribbean,Antigua and Barbuda,"Population, male",36854.0
7489,Australia,2002,0.0058541040992293085,Australia,77.9,East Asia & Pacific,Australia,"Population, male",9805087.0
7490,Austria,2002,0.012379251355859155,Austria,76.1,Europe & Central Asia,Austria,"Population, male",3925924.0
7491,Azerbaijan,2002,0.0066645000801237655,Azerbaijan,64.9,Europe & Central Asia,Azerbaijan,"Population, male",4006302.0
7492,Burundi,2002,0.0036394196460118483,Burundi,50.2,Sub-Saharan Africa,Burundi,"Population, male",3297229.0
7493,Belgium,2002,0.006596689094092882,Belgium,75.5,Europe & Central Asia,Belgium,"Population, male",5063146.0
7494,Benin,2002,0.013487086115044844,Benin,54.9,Sub-Saharan Africa,Benin,"Population, male",3603447.0
7495,Burkina Faso,2002,0.012715146815302157,Burkina Faso,50.9,Sub-Saharan Africa,Burkina Faso,"Population, male",6047905.0
7496,Bangladesh,2002,0.002308232044950246,Bangladesh,66.2,South Asia,Bangladesh,"Population, male",68017425.0
7497,Bulgaria,2002,0.012474758923973421,Bulgaria,68.8,Europe & Central Asia,Bulgaria,"Population, male",3815705.0
7498,Bahrain,2002,0.002093482400495333,Bahrain,74.3,Middle East & North Africa,Bahrain,"Population, male",427995.0
7499,"Bahamas, The",2002,0.005410177017782028,"Bahamas, The",69.0,Latin America & Caribbean,"Bahamas, The","Population, male",149533.0
7500,Bosnia and Herzegovina,2002,0.011968952213010522,Bosnia and Herzegovina,72.2,Europe & Central Asia,Bosnia and Herzegovina,"Population, male",1846444.0
7501,Belarus,2002,0.004996097204586287,Belarus,62.3,Europe & Central Asia,Belarus,"Population, male",4623609.0
7502,Belize,2002,0.005383712565782002,Belize,66.8,Latin America & Caribbean,Belize,"Population, male",132065.0
7503,Bolivia,2002,0.0034324586473976166,Bolivia,62.2,Latin America & Caribbean,Bolivia,"Population, male",4399179.0
7504,Brazil,2002,0.00389383247434001,Brazil,67.4,Latin America & Caribbean,Brazil,"Population, male",88858471.0
7505,Barbados,2002,0.006099557572665453,Barbados,75.9,Latin America & Caribbean,Barbados,"Population, male",131321.0
7506,Brunei Darussalam,2002,0.006207359992710623,Brunei Darussalam,72.5,East Asia & Pacific,Brunei Darussalam,"Population, male",175598.0
7507,Bhutan,2002,0.0032376599576903857,Bhutan,63.3,South Asia,Bhutan,"Population, male",318131.0
7508,Botswana,2002,0.005033163222095587,Botswana,48.3,Sub-Saharan Africa,Botswana,"Population, male",826518.0
7509,Central African Republic,2002,0.006715390555922415,Central African Republic,43.0,Sub-Saharan Africa,Central African Republic,"Population, male",1876287.0
7510,Canada,2002,0.005418474514089289,Canada,77.3,North America,Canada,"Population, male",15539429.0
7511,Switzerland,2002,0.010166911477656667,Switzerland,77.9,Europe & Central Asia,Switzerland,"Population, male",3560570.0
7512,Chile,2002,0.005429478908677331,Chile,74.0,Latin America & Caribbean,Chile,"Population, male",7717131.0
7513,China,2002,0.04154019003876133,China,70.7,East Asia & Pacific,China,"Population, male",657194875.0
7514,Cote d'Ivoire,2002,0.008068547851234962,Cote d'Ivoire,48.1,Sub-Saharan Africa,Cote d'Ivoire,"Population, male",8849176.0
7515,Cameroon,2002,0.0184163622748922,Cameroon,50.6,Sub-Saharan Africa,Cameroon,"Population, male",8144931.0
7516,"Congo, Dem. Rep.",2002,0.005616017755343156,"Congo, Dem. Rep.",50.7,Sub-Saharan Africa,"Congo, Dem. Rep.","Population, male",24750634.0
7517,"Congo, Rep.",2002,0.009411080263681358,"Congo, Rep.",52.7,Sub-Saharan Africa,"Congo, Rep.","Population, male",1636369.0
7518,Colombia,2002,0.0035442199089614707,Colombia,70.5,Latin America & Caribbean,Colombia,"Population, male",20032617.0
7519,Comoros,2002,0.003698199046841528,Comoros,58.2,Sub-Saharan Africa,Comoros,"Population, male",286626.0
7520,Cabo Verde,2002,0.009970043063096798,Cabo Verde,66.1,Sub-Saharan Africa,Cabo Verde,"Population, male",213640.0
7521,Costa Rica,2002,0.004778388268595003,Costa Rica,75.6,Latin America & Caribbean,Costa Rica,"Population, male",2057179.0
7522,Cuba,2002,0.005893812840092259,Cuba,75.4,Latin America & Caribbean,Cuba,"Population, male",5582125.0
7523,Cyprus,2002,0.0049610105072177635,Cyprus,76.3,Europe & Central Asia,Cyprus,"Population, male",493851.0
7524,Czech Republic,2002,0.01114761355396604,Czech Republic,72.4,Europe & Central Asia,Czech Republic,"Population, male",4960703.0
7525,Germany,2002,0.009694669612122732,Germany,75.8,Europe & Central Asia,Germany,"Population, male",40228292.0
7526,Djibouti,2002,0.004361402391546906,Djibouti,56.0,Middle East & North Africa,Djibouti,"Population, male",373733.0
7527,Denmark,2002,0.006463446392288357,Denmark,75.1,Europe & Central Asia,Denmark,"Population, male",2661119.0
7528,Dominican Republic,2002,0.00555033007333288,Dominican Republic,67.3,Latin America & Caribbean,Dominican Republic,"Population, male",4378118.0
7529,Algeria,2002,0.0014379566635810514,Algeria,70.8,Middle East & North Africa,Algeria,"Population, male",16134005.0
7530,Ecuador,2002,0.004442794696789118,Ecuador,70.8,Latin America & Caribbean,Ecuador,"Population, male",6594948.0
7531,"Egypt, Arab Rep.",2002,0.015717904164661428,"Egypt, Arab Rep.",66.8,Middle East & North Africa,"Egypt, Arab Rep.","Population, male",36009890.0
7532,Eritrea,2002,0.004675694478150431,Eritrea,55.2,Sub-Saharan Africa,Eritrea,"Population, male",1236180.0
7533,Spain,2002,0.013886866106271918,Spain,76.7,Europe & Central Asia,Spain,"Population, male",20378968.0
7534,Estonia,2002,0.006842945079144881,Estonia,66.1,Europe & Central Asia,Estonia,"Population, male",642998.0
7535,Ethiopia,2002,0.004746198195175221,Ethiopia,52.9,Sub-Saharan Africa,Ethiopia,"Population, male",34975362.0
7536,Finland,2002,0.0071221259664056005,Finland,75.0,Europe & Central Asia,Finland,"Population, male",2541376.0
7537,Fiji,2002,0.004991837020138565,Fiji,64.6,East Asia & Pacific,Fiji,"Population, male",414677.0
7538,France,2002,0.01976532416934556,France,76.1,Europe & Central Asia,France,"Population, male",29951444.0
7539,"Micronesia, Fed. Sts.",2002,0.005699634780683955,"Micronesia, Fed. Sts.",63.5,East Asia & Pacific,"Micronesia, Fed. Sts.","Population, male",54214.0
7540,Gabon,2002,0.013622831491497421,Gabon,56.5,Sub-Saharan Africa,Gabon,"Population, male",641570.0
7541,United Kingdom,2002,0.005693229931856178,United Kingdom,76.2,Europe & Central Asia,United Kingdom,"Population, male",28981791.0
7542,Georgia,2002,0.008925954192425613,Georgia,66.4,Europe & Central Asia,Georgia,"Population, male",1893355.0
7543,Ghana,2002,0.011446145104640268,Ghana,57.0,Sub-Saharan Africa,Ghana,"Population, male",10221782.0
7544,Guinea,2002,0.02404900821645963,Guinea,51.7,Sub-Saharan Africa,Guinea,"Population, male",4095803.0
7545,"Gambia, The",2002,0.02820401957387592,"Gambia, The",56.1,Sub-Saharan Africa,"Gambia, The","Population, male",698482.0
7546,Guinea-Bissau,2002,0.017991756804267844,Guinea-Bissau,49.0,Sub-Saharan Africa,Guinea-Bissau,"Population, male",605833.0
7547,Equatorial Guinea,2002,0.008213135212003366,Equatorial Guinea,52.9,Sub-Saharan Africa,Equatorial Guinea,"Population, male",344570.0
7548,Greece,2002,0.0212447777103487,Greece,76.5,Europe & Central Asia,Greece,"Population, male",5413095.0
7549,Grenada,2002,0.005417118093174431,Grenada,70.5,Latin America & Caribbean,Grenada,"Population, male",51688.0
7550,Guatemala,2002,0.007739767850616101,Guatemala,65.9,Latin America & Caribbean,Guatemala,"Population, male",5956251.0
7551,Guam,2002,0.011687226372968455,Guam,73.7,East Asia & Pacific,Guam,"Population, male",80173.0
7552,Guyana,2002,0.00370344527757054,Guyana,63.1,Latin America & Caribbean,Guyana,"Population, male",372626.0
7553,Honduras,2002,0.0027031291330032346,Honduras,69.2,Latin America & Caribbean,Honduras,"Population, male",3447856.0
7554,Croatia,2002,0.013234624288820074,Croatia,71.5,Europe & Central Asia,Croatia,"Population, male",2070327.0
7555,Haiti,2002,0.0029222995343106957,Haiti,56.1,Latin America & Caribbean,Haiti,"Population, male",4311673.0
